Time (HH:MM:SS),Heating Setpoint (°C),Cooling Setpoint (°C)
01:00:00,14.73,29.23
02:00:00,15.0,28.46
03:00:00,15.53,29.78
04:00:00,15.37,28.51
05:00:00,14.76,28.61
06:00:00,18.26,26.98
07:00:00,17.7,25.58
08:00:00,17.12,24.37
09:00:00,21.36,23.02
10:00:00,20.52,23.16
11:00:00,18.05,23.06
12:00:00,19.94,26.09
13:00:00,21.25,25.35
14:00:00,19.49,25.68
15:00:00,18.97,24.69
16:00:00,20.85,23.2
17:00:00,20.06,25.09
18:00:00,20.74,25.2
19:00:00,19.73,26.54
20:00:00,18.17,24.74
21:00:00,20.37,26.04
22:00:00,21.37,25.44
23:00:00,15.97,27.94
00:00:00,16.32,29.96
